coc_number,coc_name,year
IL-509,Dekalb City & County,2016
IN-502,Indiana Balance of State,2016
IN-503,Indianapolis,2016
IN-500,"South Bend, Mishawaka/St. Joseph County",2016
IA-501,Iowa Balance of State,2016
IA-502,Des Moines/Polk County,2016
IA-500,"Sioux City/Dakota, Woodbury Counties",2016
KS-507,Kansas Balance of State,2016
KS-503,Topeka/Shawnee County,2016
MO-604,"Kansas City, Independence, Lee'S Summit/Jackson County",2016
KS-502,Wichita/Sedgwick County,2016
KS-505,"Overland Park, Shawnee/Johnson County",2016
KY-500,Kentucky Balance of State,2016
KY-502,Lexington-Fayette County,2016
KY-501,Louisville-Jefferson County,2016
LA-500,Lafayette/Acadiana Regional,2016
LA-503,New Orleans/Jefferson Parish,2016
LA-504,Baton Rouge,2016
LA-509,Louisiana Balance of State,2016
LA-508,"Houma-Terrebonne, Thibodaux",2016
LA-505,Monroe/Northeast Louisiana,2016
LA-507,Alexandria/Central Louisiana,2016
LA-502,"Shreveport, Bossier/Northwest Louisiana",2016
LA-506,Slidell/Southeast Louisiana,2016
ME-500,Maine Balance of State,2016
ME-502,Portland,2016
MD-501,Baltimore,2016
MD-500,Cumberland/Allegany County,2016
MD-505,Baltimore County,2016
MD-508,"Charles, Calvert, St.Mary'S Counties",2016
MD-511,Mid-Shore Regional,2016
MD-506,Carroll County,2016
MD-507,Cecil County,2016
MD-509,Frederick City & County,2016
MD-510,Garrett County,2016
MD-502,Harford County,2016
MD-504,Howard County,2016
MD-601,Montgomery County,2016
MD-513,"Wicomico, Somerset, Worcester Counties",2016
MD-512,Hagerstown/Washington County,2016
MA-506,Worcester City & County,2016
MA-504,Springfield/Hampden County,2016
MA-509,Cambridge,2016
MA-508,Lowell,2016
MA-500,Boston,2016
MA-516,Massachusetts Balance of State,2016
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties",2016
MA-510,"Gloucester, Haverhill, Salem/Essex County",2016
MA-505,New Bedford,2016
MA-599,"Ma-510, Ma-516 & Ma-518 Shared Jurisdiction",2016
MA-503,Cape Cod Islands,2016
MA-511,"Quincy, Brockton, Weymouth, Plymouth City And County",2016
MA-519,"Attleboro, Taunton/Bristol County",2016
MA-518,"Brookline, Newton",2016
MA-515,Fall River,2016
MA-502,Lynn,2016
MA-517,Somerville,2016
MI-514,Battle Creek/Calhoun County,2016
MI-513,"Marquette, Alger Counties",2016
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County",2016
MI-505,Flint/Genesee County,2016
MI-508,"Lansing, East Lansing/Ingham County",2016
MI-517,Jackson City & County,2016
MI-506,"Grand Rapids, Wyoming/Kent County",2016
MI-518,Livingston County,2016
MI-519,Holland/Ottawa County,2016
MI-501,Detroit,2016
MI-504,"Pontiac, Royal Oak/Oakland County",2016
MI-510,Saginaw City & County,2016
MI-507,"Portage, Kalamazoo City & County",2016
MI-503,"St. Clair Shores, Warren/Macomb County",2016
MI-516,"Norton Shores, Muskegon City & County",2016
MI-509,Washtenaw County,2016
MI-512,"Grand Traverse, Antrim, Leelanau Counties",2016
MI-515,Monroe City & County,2016
MI-523,Eaton County,2016
MI-511,Lenawee County,2016
MN-502,Rochester/Southeast Minnesota,2016
MN-509,Duluth/St. Louis County,2016
MN-505,St. Cloud/Central Minnesota,2016
MN-508,Moorhead/West Central Minnesota,2016
MN-506,Northwest Minnesota,2016
MN-500,Minneapolis/Hennepin County,2016
MN-501,St. Paul/Ramsey County,2016
MN-511,Southwest Minnesota,2016
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",2016
MS-501,Mississippi Balance of State,2016
MS-503,Gulf Port/Gulf Coast Regional,2016
MS-500,"Jackson/Rankin, Madison Counties",2016
MO-606,Missouri Balance of State,2016
MO-501,St. Louis,2016
MO-500,St. Louis County,2016
MO-600,"Springfield/Greene, Christian, Webster Counties",2016
MO-602,"Joplin/Jasper, Newton Counties",2016
MO-503,"St. Charles City & County, Lincoln, Warren Counties",2016
MO-603,"St. Joseph/Andrew, Buchanan, Dekalb Counties",2016
MT-500,Montana Statewide,2016
NC-511,Fayetteville/Cumberland County,2016
NC-503,North Carolina Balance of State,2016
NC-502,Durham City & County,2016
NC-505,Charlotte/Mecklenburg County,2016
NC-509,Gaston/Lincoln/Cleveland,2016
NC-507,Raleigh/Wake County,2016
NC-516,Northwest North Carolina,2016
NC-501,Asheville/Buncombe County,2016
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties",2016
NC-513,Chapel Hill/Orange County,2016
NC-500,Winston-Salem/Forsyth County,2016
NC-504,"Greensboro, High Point",2016
ND-500,North Dakota Statewide,2016
NE-500,Nebraska Balance of State,2016
NE-501,"Omaha, Council Bluffs",2016
NE-502,Lincoln,2016
NH-500,New Hampshire Balance of State,2016
NH-501,Manchester,2016
NH-502,Nashua/Hillsborough County,2016
NJ-500,Atlantic City & County,2016
NJ-501,Bergen County,2016
NJ-502,Burlington County,2016
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties",2016
NJ-504,Newark/Essex County,2016
NJ-506,"Jersey City, Bayonne/Hudson County",2016
NJ-507,New Brunswick/Middlesex County,2016
NJ-508,Monmouth County,2016
NJ-509,Morris County,2016
NJ-510,Lakewood Township/Ocean County,2016
NJ-511,Paterson/Passaic County,2016
NJ-512,Salem County,2016
NJ-513,Somerset County,2016
NJ-514,Trenton/Mercer County,2016
NJ-515,Elizabeth/Union County,2016
NJ-516,"Warren, Sussex, Hunterdon Counties",2016
NM-500,Albuquerque,2016
NM-501,New Mexico Balance of State,2016
NV-500,Las Vegas/Clark County,2016
NV-501,"Reno, Sparks/Washoe County",2016
NV-502,Nevada Balance of State,2016
NY-500,"Rochester, Irondequoit, Greece/Monroe County",2016
NY-503,Albany City & County,2016
NY-504,Cattaraugus County,2016
NY-505,"Syracuse/Onondaga, Oswego Counties",2016
NY-507,Schenectady City & County,2016
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties",2016
NY-510,Ithaca/Tompkins County,2016
NY-511,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland Counties",2016
NY-512,Troy/Rensselaer County,2016
NY-513,"Wayne, Ontario, Seneca, Yates Counties",2016
NY-514,"Jamestown, Dunkirk/Chautauqua County",2016
NY-516,Clinton County,2016
NY-518,"Utica, Rome/Oneida, Madison Counties",2016
NY-519,"Columbia, Greene Counties",2016
NY-520,Franklin County,2016
NY-522,"Jefferson, Lewis, St. Lawrence Counties",2016
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties",2016
NY-600,New York City,2016
NY-601,Poughkeepsie/Dutchess County,2016
NY-602,"Newburgh, Middletown/Orange County",2016
NY-603,"Nassau, Suffolk Counties",2016
NY-604,"Yonkers, Mount Vernon/Westchester County",2016
NY-606,Rockland County,2016
NY-607,Sullivan County,2016
NY-608,Kingston/Ulster County,2016
OH-500,Cincinnati/Hamilton County,2016
OH-501,Toledo/Lucas County,2016
OH-502,Cleveland/Cuyahoga County,2016
OH-503,Columbus/Franklin County,2016
OH-504,Youngstown/Mahoning County,2016
OH-505,"Dayton, Kettering/Montgomery County",2016
OH-506,Akron/Summit County,2016
OH-507,Ohio Balance of State,2016
OH-508,"Canton, Massillon, Alliance/Stark County",2016
OK-500,North Central Oklahoma,2016
OK-501,Tulsa City & County,2016
OK-502,Oklahoma City,2016
OK-503,Oklahoma Balance of State,2016
OK-504,Norman/Cleveland County,2016
OK-505,Northeast Oklahoma,2016
OK-506,Southwest Oklahoma Regional,2016
OK-507,Southeastern Oklahoma Regional,2016
OR-500,"Eugene, Springfield/Lane County",2016
OR-501,"Portland, Gresham/Multnomah County",2016
OR-502,"Medford, Ashland/Jackson County",2016
OR-503,Central Oregon,2016
OR-505,Oregon Balance of State,2016
OR-506,"Hillsboro, Beaverton/Washington County",2016
OR-507,Clackamas County,2016
PA-500,Philadelphia,2016
PA-501,Harrisburg/Dauphin County,2016
PA-502,"Upper Darby, Chester, Haverford/Delaware County",2016
PA-503,"Wilkes-Barre, Hazleton/Luzerne County",2016
PA-504,"Lower Merion, Norristown, Abington/Montgomery County",2016
PA-505,Chester County,2016
PA-506,Reading/Berks County,2016
PA-508,Scranton/Lackawanna County,2016
PA-509,Eastern Pennsylvania,2016
PA-510,Lancaster City & County,2016
PA-511,"Bristol, Bensalem/Bucks County",2016
PA-512,York City & County,2016
PA-600,"Pittsburgh, Mckeesport, Penn Hills/Allegheny County",2016
PA-601,Western Pennsylvania,2016
PA-603,Beaver County,2016
PA-605,Erie City & County,2016
PR-502,Puerto Rico Balance of Commonwealth,2016
RI-500,Rhode Island Statewide,2016
SC-500,Charleston/Low Country,2016
SC-501,"Greenville, Anderson, Spartanburg / Upstate",2016
SC-502,Columbia/Midlands,2016
SC-503,"Myrtle Beach, Sumter City & County",2016
SD-500,South Dakota Statewide,2016
TN-500,Chattanooga/Southeast Tennessee,2016
TN-501,Memphis/Shelby County,2016
TN-502,Knoxville/Knox County,2016
TN-503,Central Tennessee,2016
TN-504,Nashville-Davidson County,2016
TN-506,Upper Cumberland,2016
TN-507,Jackson/West Tennessee,2016
TN-509,Appalachian Regional,2016
TN-510,Murfreesboro/Rutherford County,2016
TN-512,"Morristown/Blount, Sevier, Campbell, ke Counties",2016
TX-500,San Antonio/Bexar County,2016
TX-503,Austin/Travis County,2016
TX-600,"Dallas City & County, Irving",2016
TX-601,"Fort Worth, Arlington/Tarrant County",2016
TX-603,El Paso City & County,2016
TX-604,Waco/Mclennan County,2016
TX-607,Texas Balance of State,2016
TX-611,Amarillo,2016
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties",2016
TX-700,"Houston, Pasadena/Harris, Fort Bend Counties",2016
TX-701,"Bryan, College Station/Brazos Valley",2016
UT-500,Salt Lake City & County,2016
UT-503,Utah Balance of State,2016
UT-504,Provo/Mountainland,2016
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties",2016
VA-501,"Norfolk/Chesapeake, Suffolk, Isle Of Wight, Southampton Counties",2016
VA-502,"Roanoke City & County, Salem",2016
VA-503,Virginia Beach,2016
VA-504,Charlottesville,2016
VA-505,"Newport News, Hampton/Virginia Peninsula",2016
VA-507,Portsmouth,2016
VA-508,Lynchburg,2016
VA-513,"Harrisonburg, Winchester/Western Virginia",2016
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties",2016
VA-521,Virginia Balance of State,2016
VA-600,Arlington County,2016
VA-601,Fairfax County,2016
VA-602,Loudoun County,2016
VA-603,Alexandria,2016
VA-604,Prince William County,2016
VT-500,Vermont Balance of State,2016
VT-501,Burlington/Chittenden County,2016
WA-500,Seattle/King County,2016
WA-501,Washington Balance of State,2016
WA-502,Spokane City & County,2016
WA-503,"Tacoma, Lakewood/Pierce County",2016
WA-504,Everett/Snohomish County,2016
WA-507,Yakima City & County,2016
WA-508,Vancouver/Clark County,2016
WI-500,Wisconsin Balance of State,2016
WI-501,Milwaukee City & County,2016
WI-502,Racine City & County,2016
WI-503,Madison/Dane County,2016
WV-500,"Wheeling, Weirton Area",2016
WV-501,"Huntington/Cabell, Wayne Counties",2016
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties",2016
WV-508,West Virginia Balance of State,2016
WY-500,Wyoming Statewide,2016
AL-507,Alabama Balance of State,2015
AK-500,Anchorage,2015
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties",2015
AL-503,Huntsville/North Alabama,2015
AK-501,Alaska Balance of State,2015
AL-505,Gadsden/Northeast Alabama,2015
AL-501,Mobile City & County/Baldwin County,2015
AL-504,Montgomery City & County,2015
AL-502,Florence/Northwest Alabama,2015
AL-506,Tuscaloosa City & County,2015
AZ-502,"Phoenix, Mesa/Maricopa County",2015
AZ-500,Arizona Balance of State,2015
AZ-501,Tucson/Pima County,2015
IL-502,"Waukegan, North Chicago/Lake County",2015
AR-500,Little Rock/Central Arkansas,2015
AR-501,Fayetteville/Northwest Arkansas,2015
AR-503,Arkansas Balance of State,2015
AR-505,Southeast Arkansas,2015
AR-504,Delta Hills,2015
CA-507,Marin County,2015
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",2015
CA-515,"Roseville, Rocklin/Placer, Nevada Counties",2015
CA-609,San Bernardino City & County,2015
CA-502,"Oakland, Berkeley/Alameda County",2015
CA-514,Fresno City & County/Madera County,2015
CA-600,Los Angeles City & County,2015
CA-604,Bakersfield/Kern County,2015
CA-608,Riverside City & County,2015
CA-520,Merced City & County,2015
CA-504,"Santa Rosa, Petaluma/Sonoma County",2015
CA-513,"Visalia/Kings, Tulare Counties",2015
CA-503,Sacramento City & County,2015
CA-522,Humboldt County,2015
CA-508,Watsonville/Santa Cruz City & County,2015
CA-506,"Salinas/Monterey, San Benito Counties",2015
CA-511,Stockton/San Joaquin County,2015
CA-614,San Luis Obispo County,2015
CA-519,"Chico, Paradise/Butte County",2015
CA-510,"Turlock, Modesto/Stanislaus County",2015
CA-601,San Diego City And County,2015
CA-603,Santa Maria/Santa Barbara County,2015
CA-611,"Oxnard, San Buenaventura/Ventura County",2015
CA-530,"Alpine, Inyo, Mono Counties",2015
CA-500,"San Jose, Santa Clara City & County",2015
CA-526,"Tuolumne, Amador, Calaveras, Mariposa Counties",2015
CA-602,"Santa Ana, Anaheim/Orange County",2015
CA-509,Mendocino County,2015
CA-505,Richmond/Contra Costa County,2015
CA-512,Daly City/San Mateo County,2015
CA-518,Vallejo/Solano County,2015
CA-525,El Dorado County,2015
CA-613,Imperial County,2015
CA-527,Tehama County,2015
CA-521,"Davis, Woodland/Yolo County",2015
CA-612,Glendale,2015
CA-529,Lake County,2015
CA-606,Long Beach,2015
CA-524,Yuba City & County/Sutter County,2015
CA-517,Napa City & County,2015
CA-607,Pasadena,2015
CA-501,San Francisco,2015
CO-500,Colorado Balance of State,2015
CO-503,Metropolitan Denver,2015
CO-504,Colorado Springs/El Paso County,2015
CT-505,Connecticut Balance of State,2015
CT-503,"Bridgeport, Stamford, Norwalk/Fairfield County",2015
DE-500,Delaware Statewide,2015
DC-500,District Of Columbia,2015
MD-600,Prince George'S County,2015
FL-507,"Orlando/Orange, Osceola, Seminole Counties",2015
FL-508,"Gainesville/Alachua, Putnam Counties",2015
FL-503,"Lakeland, Winterhaven/Polk County",2015
FL-515,"Panama City/Bay, Jackson Counties",2015
FL-513,"Palm Bay, Melbourne/Brevard County",2015
FL-601,Ft Lauderdale/Broward County,2015
FL-602,Punta Gorda/Charlotte County,2015
FL-520,"Citrus, Hernando, Lake, Sumter Counties",2015
FL-510,"Jacksonville-Duval, Clay Counties",2015
FL-606,Naples/Collier County,2015
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties",2015
FL-600,Miami-Dade County,2015
FL-517,"Hendry, Hardee, Highlands Counties",2015
FL-511,"Pensacola/Escambia, Santa Rosa Counties",2015
FL-504,"Daytona Beach, Daytona/Volusia, Flagler Counties",2015
FL-506,Tallahassee/Leon County,2015
FL-501,Tampa/Hillsborough County,2015
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties",2015
FL-603,"Ft Myers, Cape Coral/Lee County",2015
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties",2015
FL-514,Ocala/Marion County,2015
FL-604,Monroe County,2015
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties",2015
FL-605,West Palm Beach/Palm Beach County,2015
FL-519,Pasco County,2015
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County",2015
FL-512,St. Johns County,2015
GA-501,Georgia Balance of State,2015
GA-500,Atlanta,2015
GA-502,Fulton County,2015
GA-507,Savannah/Chatham County,2015
GA-503,Athens-Clarke County,2015
GA-506,Marietta/Cobb County,2015
GA-508,Dekalb County,2015
GA-505,Columbus-Muscogee/Russell County,2015
GA-504,Augusta-Richmond County,2015
HI-501,Honolulu City And County,2015
ID-501,Idaho Balance of State,2015
ID-500,Boise/Ada County,2015
IL-515,South Central Illinois,2015
IL-512,Bloomington/Central Illinois,2015
IL-520,Southern Illinois,2015
IL-507,"Peoria, Pekin/Fulton,Tazewell, Peoria, Woodford Counties",2015
IL-500,Mchenry County,2015
IL-519,West Central Illinois,2015
IL-518,"Rock Island, Moline/Northwestern Illinois",2015
IL-516,Decatur/Macon County,2015
IL-511,Cook County,2015
IL-510,Chicago,2015
IL-514,Dupage County,2015
IL-504,Madison County,2015
IL-513,Springfield/Sangamon County,2015
IL-517,"Aurora, Elgin/Kane County",2015
IL-506,"Joliet, Bolingbrook/Will County",2015
IL-508,"East St. Louis, Belleville/St. Clair County",2015
IL-501,"Rockford/Winnebago, Boone Counties",2015
IL-503,"Champaign, Urbana, Rantoul/Champaign County",2015
IL-509,Dekalb City & County,2015
IN-503,Indianapolis,2015
IN-502,Indiana Balance of State,2015
IN-500,"South Bend, Mishawaka/St. Joseph County",2015
IA-501,Iowa Balance of State,2015
IA-502,Des Moines/Polk County,2015
IA-500,"Sioux City/Dakota, Woodbury Counties",2015
KS-507,Kansas Balance of State,2015
KS-503,Topeka/Shawnee County,2015
MO-604,"Kansas City, Independence, Lee'S Summit/Jackson County",2015
KS-502,Wichita/Sedgwick County,2015
KS-505,"Overland Park, Shawnee/Johnson County",2015
KY-500,Kentucky Balance of State,2015
KY-502,Lexington-Fayette County,2015
KY-501,Louisville-Jefferson County,2015
LA-505,Monroe/Northeast Louisiana,2015
LA-500,Lafayette/Acadiana Regional,2015
LA-503,New Orleans/Jefferson Parish,2015
LA-504,Baton Rouge,2015
LA-509,Louisiana Balance of State,2015
LA-508,"Houma-Terrebonne, Thibodaux",2015
LA-502,"Shreveport, Bossier/Northwest Louisiana",2015
LA-507,Alexandria/Central Louisiana,2015
LA-506,Slidell/Southeast Louisiana,2015
ME-500,Maine Balance of State,2015
ME-502,Portland,2015
MD-501,Baltimore,2015
MD-500,Cumberland/Allegany County,2015
MD-503,Annapolis/Anne Arundel County,2015
MD-505,Baltimore County,2015
MD-508,"Charles, Calvert, St.Mary'S Counties",2015
MD-511,Mid-Shore Regional,2015
MD-506,Carroll County,2015
MD-507,Cecil County,2015
MD-509,Frederick City & County,2015
MD-510,Garrett County,2015
MD-502,Harford County,2015
MD-504,Howard County,2015
MD-601,Montgomery County,2015
MD-513,"Wicomico, Somerset, Worcester Counties",2015
MD-512,Hagerstown/Washington County,2015
MA-506,Worcester City & County,2015
MA-504,Springfield/Hampden County,2015
MA-500,Boston,2015
MA-509,Cambridge,2015
MA-599,"Ma-510, Ma-516 & Ma-518 Shared Jurisdiction",2015
MA-508,Lowell,2015
MA-511,"Quincy, Brockton, Weymouth, Plymouth City And County",2015
MA-515,Fall River,2015
MA-516,Massachusetts Balance of State,2015
MA-510,"Gloucester, Haverhill, Salem/Essex County",2015
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties",2015
MA-502,Lynn,2015
MA-505,New Bedford,2015
MA-519,"Attleboro, Taunton/Bristol County",2015
MA-517,Somerville,2015
MA-503,Cape Cod Islands,2015
MA-518,"Brookline, Newton",2015
MI-514,Battle Creek/Calhoun County,2015
MI-500,Michigan Balance of State,2015
MI-513,"Marquette, Alger Counties",2015
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County",2015
MI-505,Flint/Genesee County,2015
MI-508,"Lansing, East Lansing/Ingham County",2015
MI-517,Jackson City & County,2015
MI-506,"Grand Rapids, Wyoming/Kent County",2015
MI-518,Livingston County,2015
MI-504,"Pontiac, Royal Oak/Oakland County",2015
MI-519,Holland/Ottawa County,2015
MI-501,Detroit,2015
MI-510,Saginaw City & County,2015
MI-507,"Portage, Kalamazoo City & County",2015
MI-503,"St. Clair Shores, Warren/Macomb County",2015
MI-516,"Norton Shores, Muskegon City & County",2015
MI-509,Washtenaw County,2015
MI-512,"Grand Traverse, Antrim, Leelanau Counties",2015
MI-515,Monroe City & County,2015
MI-523,Eaton County,2015
MI-511,Lenawee County,2015
MN-509,Duluth/St. Louis County,2015
MN-502,Rochester/Southeast Minnesota,2015
MN-511,Southwest Minnesota,2015
MN-506,Northwest Minnesota,2015
MN-500,Minneapolis/Hennepin County,2015
MN-508,Moorhead/West Central Minnesota,2015
MN-501,St. Paul/Ramsey County,2015
MN-505,St. Cloud/Central Minnesota,2015
MN-504,Northeast Minnesota,2015
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",2015
MS-501,Mississippi Balance of State,2015
MS-503,Gulf Port/Gulf Coast Regional,2015
MS-500,"Jackson/Rankin, Madison Counties",2015
MO-606,Missouri Balance of State,2015
MO-501,St. Louis,2015
MO-500,St. Louis County,2015
MO-600,"Springfield/Greene, Christian, Webster Counties",2015
MO-602,"Joplin/Jasper, Newton Counties",2015
MO-503,"St. Charles City & County, Lincoln, Warren Counties",2015
MO-603,"St. Joseph/Andrew, Buchanan, Dekalb Counties",2015
MT-500,Montana Statewide,2015
NC-500,Winston-Salem/Forsyth County,2015
NC-501,Asheville/Buncombe County,2015
NC-502,Durham City & County,2015
NC-503,North Carolina Balance of State,2015
NC-504,"Greensboro, High Point",2015
NC-505,Charlotte/Mecklenburg County,2015
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties",2015
NC-507,Raleigh/Wake County,2015
NC-509,Gaston/Lincoln/Cleveland,2015
NC-511,Fayetteville/Cumberland County,2015
NC-513,Chapel Hill/Orange County,2015
NC-516,Northwest North Carolina,2015
ND-500,North Dakota Statewide,2015
NE-500,Nebraska Balance of State,2015
NE-501,"Omaha, Council Bluffs",2015
NE-502,Lincoln,2015
NH-500,New Hampshire Balance of State,2015
NH-501,Manchester,2015
NH-502,Nashua/Hillsborough County,2015
NJ-500,Atlantic City & County,2015
NJ-501,Bergen County,2015
NJ-502,Burlington County,2015
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties",2015
NJ-504,Newark/Essex County,2015
NJ-506,"Jersey City, Bayonne/Hudson County",2015
NJ-507,New Brunswick/Middlesex County,2015
NJ-508,Monmouth County,2015
NJ-509,Morris County,2015
NJ-510,Lakewood Township/Ocean County,2015
NJ-511,Paterson/Passaic County,2015
NJ-512,Salem County,2015
NJ-513,Somerset County,2015
NJ-514,Trenton/Mercer County,2015
NJ-515,Elizabeth/Union County,2015
NJ-516,"Warren, Sussex, Hunterdon Counties",2015
NM-500,Albuquerque,2015
NM-501,New Mexico Balance of State,2015
NV-500,Las Vegas/Clark County,2015
NV-501,"Reno, Sparks/Washoe County",2015
NV-502,Nevada Balance of State,2015
