cocnumber,coc_name,coc_state,rhy_program_type,rhy_authorized_representative_title,rhy_authorized_representative_zipcode
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",NY,TLP,PRESIDENT AND CHIEF EXECUTIVE OFFICER,14305-2522
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",NY,BCP,CHIEF EXECUTIVE OFFICER,14305-2522
NY-510,Ithaca/Tompkins County CoC,NY,TLP,EXECUTIVE DIRECTOR,14850-4033
NY-511,"Binghamton, Union/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties CoC",NY,TLP,EXECUTIVE DIRECTOR,13905-2610
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",NY,TLP,EXECUTIVE DIRECTOR,14048-2754
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",NY,BCP,N/A,14048-2754
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",NY,BCP,EXECUTIVE DIRECTOR,13502-2304
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",NY,BCP,N/A,12065-3979
NY-600,New York City CoC,NY,BCP,PRESIDENT/CEO,10036-6801
NY-600,New York City CoC,NY,TLP,EXECUTIVE DIRECTOR,11217-3110
NY-600,New York City CoC,NY,BCP,EXECUTIVE DIRECTOR,10018-6344
NY-600,New York City CoC,NY,BCP,EXECUTIVE DIRECTOR,10007-1327
NY-602,"Newburgh, Middletown/Orange County CoC",NY,BCP,CEO,10940-1901
NY-603,"Nassau, Suffolk Counties CoC",NY,BCP,DIRECTOR OF DEVELOPMENT AND COMMUNITY OUTREACH,11501-4633
NY-603,"Nassau, Suffolk Counties CoC",NY,BCP,CHIEF EXECUTIVE OFFICER,11743-6904
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",NY,BCP,EXECUTIVE DIRECTOR,10522-0000
NY-606,Rockland County CoC,NY,TLP,ASSISTANT SECRETARY-LEGAL,10994-1758
NY-606,Rockland County CoC,NY,BCP,PRESIDENT,10994-1758
NY-606,Rockland County CoC,NY,BCP,EXECUTIVE DIRECTOR,10994-1758
NY-608,Kingston/Ulster County CoC,NY,TLP,N/A,12401-3860
NY-608,Kingston/Ulster County CoC,NY,BCP,PRESIDENT OF THE BOARD,12401-3860
OH-500,Cincinnati/Hamilton County CoC,OH,TLP,PRESIDENT/CEO,45206-1922
OH-500,Cincinnati/Hamilton County CoC,OH,BCP,N/A,45206-1922
OH-502,Cleveland/Cuyahoga County CoC,OH,TLP,PRESIDENT,44118-4819
OH-502,Cleveland/Cuyahoga County CoC,OH,BCP,EXECUTIVE DIRECTOR,44118-4819
OH-502,Cleveland/Cuyahoga County CoC,OH,BCP,EXECUTIVE DIRECTOR,44118-4819
OH-502,Cleveland/Cuyahoga County CoC,OH,BCP,COUNTY EXECUTIVE,44112-4735
OH-503,Columbus/Franklin County CoC,OH,BCP,EXECUTIVE DIRECTOR,43201-2533
OH-504,Youngstown/Mahoning County CoC,OH,BCP,EXECUTIVE DIRECTOR,44502-2323
OH-505,"Dayton, Kettering/Montgomery County CoC",OH,TLP,CHIEF EXECUTIVE OFFICER,45402-2649
OH-505,"Dayton, Kettering/Montgomery County CoC",OH,BCP,EXECUTIVE DIRECTOR,45402-2649
OH-505,"Dayton, Kettering/Montgomery County CoC",OH,BCP,N/A,45402-2649
OH-505,"Dayton, Kettering/Montgomery County CoC",OH,BCP,PRESIDENT AND CEO,45402-2649
OH-506,Akron/Summit County CoC,OH,TLP,EXECUTIVE DIRECTOR,44278-2802
OH-506,Akron/Summit County CoC,OH,BCP,EXECUTIVE DIRECTOR,44278-2802
OH-506,Akron/Summit County CoC,OH,BCP,EXECUTIVE DIRECTOR,44278-2802
OH-507,Ohio Balance of State CoC,OH,BCP,N/A,45651-1015
OH-508,"Canton, Massillon, Alliance/Stark County CoC",OH,BCP,PRESIDENT,44707-3232
OK-500,North Central Oklahoma CoC,OK,TLP,EXECUTIVE DIRECTOR,73701
OK-500,North Central Oklahoma CoC,OK,BCP,PRESIDENT OGLALA SIOUX TRIBE,73701
OK-501,Tulsa City & County CoC,OK,BCP,EXECUTIVE DIRECTOR,74120-3208
OK-501,Tulsa City & County CoC,OK,BCP,PRESIDENT/CHIEF EXECUTIVE OFFICER,74120-3208
OK-503,Oklahoma Balance of State CoC,OK,BCP,PRESIDENT AND CHIEF EXECUTIVE OFFICER,73717-2242
OK-503,Oklahoma Balance of State CoC,OK,TLP,EXECUTIVE DIRECTOR,73036-0000
OK-503,Oklahoma Balance of State CoC,OK,TLP,EXECUTIVE DIRECTOR,73036-0000
OK-503,Oklahoma Balance of State CoC,OK,BCP,EXECUTIVE DIRECTOR,73036-0000
OK-503,Oklahoma Balance of State CoC,OK,BCP,EXECUTIVE DIRECTOR,73036-0000
OR-500,"Eugene, Springfield/Lane County CoC",OR,TLP,CHIEF EXECUTIVE OFFICER,97402-3500
OR-500,"Eugene, Springfield/Lane County CoC",OR,BCP,ACTING EXECUTIVE DIRECTOR,97402-3500
OR-500,"Eugene, Springfield/Lane County CoC",OR,BCP,PRESIDENT AND CEO,97402-3500
OR-500,"Eugene, Springfield/Lane County CoC",OR,BCP,PRESIDENT/CEO,97402-3500
OR-501,"Portland, Gresham/Multnomah County CoC",OR,TLP,N/A,97239-3939
OR-501,"Portland, Gresham/Multnomah County CoC",OR,BCP,EXECUTIVE DIRECTOR,97239-3939
OR-501,"Portland, Gresham/Multnomah County CoC",OR,TLP,EXECUTIVE DIRECTOR,97232-2922
OR-501,"Portland, Gresham/Multnomah County CoC",OR,BCP,EXECUTIVE DIRECTOR,97232-2922
OR-501,"Portland, Gresham/Multnomah County CoC",OR,BCP,EXECUTIVE DIRECTOR,97232-2922
OR-501,"Portland, Gresham/Multnomah County CoC",OR,BCP,EXECUTIVE DIRECTOR,97232-2922
OR-501,"Portland, Gresham/Multnomah County CoC",OR,BCP,EXECUTIVE DIRECTOR,97232-2922
OR-501,"Portland, Gresham/Multnomah County CoC",OR,TLP,EXECUTIVE DIRECTOR,97205-1703
OR-503,Central Oregon CoC,OR,TLP,EXECUTIVE DIRECTOR,97701-9575
OR-503,Central Oregon CoC,OR,BCP,CHIEF PROGRAM OFFICER,97701-9575
OR-505,Oregon Balance of State CoC,OR,TLP,EXECUTIVE DIRECTOR,97601-5812
OR-505,Oregon Balance of State CoC,OR,BCP,CHIEF EXECUTIVE OFFICER,97601-5812
OR-505,Oregon Balance of State CoC,OR,BCP,EXECUTIVE DIRECTOR,97330-4831
OR-505,Oregon Balance of State CoC,OR,BCP,EXECUTIVE DIRECTOR,97330-4831
OR-505,Oregon Balance of State CoC,OR,BCP,PRESIDENT AND CEO,97301-3722
OR-505,Oregon Balance of State CoC,OR,TLP,EXECUTIVE DIRECTOR,97128-4408
OR-505,Oregon Balance of State CoC,OR,BCP,CHAIRMAN BOARD OF COUNTY COMMISSIONERS,97128-4408
OR-505,Oregon Balance of State CoC,OR,BCP,PRESIDENT,97128-4408
PA-500,Philadelphia CoC,PA,BCP,N/A,19132-1420
PA-500,Philadelphia CoC,PA,TLP,CHIEF OPERATING OFFICER,19130-2202
PA-500,Philadelphia CoC,PA,BCP,EXECUTIVE DIRECTOR,19104-2453
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",PA,TLP,PRESIDENT/CEO,19043-1216
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",PA,TLP,PRESIDENT/CEO,19043-1216
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",PA,BCP,EXECUTIVE DIRECTOR,19043-1216
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",PA,BCP,DIRECTOR OF DEVELOPMENT AND COMMUNITY OUTREACH,18701-2406
PA-509,Eastern Pennsylvania CoC,PA,TLP,N/A,17847-9756
PA-509,Eastern Pennsylvania CoC,PA,TLP,CHIEF EXECUTIVE OFFICER,16803-3045
PA-509,Eastern Pennsylvania CoC,PA,BCP,N/A,16803-3045
PA-509,Eastern Pennsylvania CoC,PA,BCP,AO,16601-2014
PA-509,Eastern Pennsylvania CoC,PA,TLP,N/A,18101-1233
PA-509,Eastern Pennsylvania CoC,PA,TLP,N/A,18101-1233
PA-509,Eastern Pennsylvania CoC,PA,BCP,N/A,18101-1233
PA-509,Eastern Pennsylvania CoC,PA,BCP,EXECUTIVE DIRECTOR,18101-1233
PA-509,Eastern Pennsylvania CoC,PA,BCP,PRESIDENT AND CEO,18101-1233
PA-509,Eastern Pennsylvania CoC,PA,BCP,BOARD PRESIDENT,18101-1233
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",PA,TLP,CHIEF EXECUTIVE OFFICER,15216-2812
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",PA,BCP,VICE PRESIDENT,15216-2812
PR-502,Puerto Rico Balance of Commonwealth CoC,PR,BCP,CEO,00612-3426
PR-502,Puerto Rico Balance of Commonwealth CoC,PR,BCP,EXECUTIVE DIRECTOR,00612-3426
RI-500,Rhode Island Statewide CoC,RI,BCP,INTERIM CEO/CHIEF CLINICAL OFICER,02860-2928
SC-501,"Greenville, Anderson, Spartanburg / Upstate CoC",SC,TLP,CHIEF EXECUTIVE OFFICER,29306-3459
SC-503,"Myrtle Beach, Sumter City & County CoC",SC,TLP,EXECUTIVE DIRECTOR,29566-0000
SC-503,"Myrtle Beach, Sumter City & County CoC",SC,BCP,EXECUTIVE DIRECTOR,29566-0000
SC-503,"Myrtle Beach, Sumter City & County CoC",SC,TLP,N/A,29556-4952
SD-500,South Dakota Statewide CoC,SD,BCP,CHIEF DEVELOPMENT OFFICER,57105-6048
SD-500,South Dakota Statewide CoC,SD,BCP,EXECUTIVE DIRECTOR,57770
SD-500,South Dakota Statewide CoC,SD,TLP,EXECUTIVE VICE PRESIDENT,57105-6657
SD-500,South Dakota Statewide CoC,SD,BCP,N/A,57105-6657
SD-500,South Dakota Statewide CoC,SD,BCP,EXECUTIVE DIRECTOR,57105-6657
TN-501,Memphis/Shelby County CoC,TN,BCP,N/A,38107-2516
TN-501,Memphis/Shelby County CoC,TN,BCP,EXECUTIVE DIRECTOR,38133-8950
TN-502,Knoxville/Knox County CoC,TN,TLP,N/A,37917-5158
TN-502,Knoxville/Knox County CoC,TN,BCP,BOARD PRESIDENT,37917-5158
TN-504,Nashville-Davidson County CoC,TN,BCP,CHIEF EXECUTIVE OFFICER,37203-2979
TN-504,Nashville-Davidson County CoC,TN,BCP,EXECUTIVE DIRECTOR,37203-2979
TN-509,Appalachian Regional CoC,TN,BCP,EXECUTIVE DIRECTOR,37683-1065
TN-509,Appalachian Regional CoC,TN,BCP,N/A,37615-6205
TX-500,San Antonio/Bexar County CoC,TX,BCP,EXECUTIVE DIRECTOR,78216-4940
TX-500,San Antonio/Bexar County CoC,TX,BCP,EXECUTIVE DIRECTOR,78218-3335
TX-500,San Antonio/Bexar County CoC,TX,TLP,CHIEF EXECUTIVE OFFICER,78213-4535
TX-500,San Antonio/Bexar County CoC,TX,BCP,EXECUTIVE DIRECTOR,78213-4535
TX-503,Austin/Travis County CoC,TX,TLP,EXECUTIVE DIRECTOR,78704-7046
TX-503,Austin/Travis County CoC,TX,TLP,EXECUTIVE DIRECTOR,78704-7046
TX-503,Austin/Travis County CoC,TX,TLP,EXECUTIVE DIRECTOR,78704-7046
TX-503,Austin/Travis County CoC,TX,BCP,CHIEF EXECUTIVE OFFICER,78704-7046
TX-600,"Dallas City & County, Irving CoC",TX,TLP,EXECUTIVE DIRECTOR,75074-5810
TX-600,"Dallas City & County, Irving CoC",TX,BCP,CHIEF OPERATING OFFICER,75074-5810
TX-600,"Dallas City & County, Irving CoC",TX,BCP,DIRECTOR OF DEVELOPMENT AND COMMUNITY OUTREACH,75074-5810
TX-600,"Dallas City & County, Irving CoC",TX,TLP,CEO,75208-6631
TX-600,"Dallas City & County, Irving CoC",TX,BCP,ASSISTANT DIRECTOR,75208-6631
TX-600,"Dallas City & County, Irving CoC",TX,BCP,CHIEF EXECUTIVE OFFICER,75208-6631
TX-601,"Fort Worth, Arlington/Tarrant County CoC",TX,BCP,PRESIDENT AND CEO,76119-2866
TX-603,El Paso City & County CoC,TX,BCP,CHIEF EXECUTIVE OFFICER,79930-5154
TX-607,Texas Balance of State CoC,TX,BCP,PRESIDENT/CHIEF EXECUTIVE OFFICER,77583-2066
TX-607,Texas Balance of State CoC,TX,BCP,EXECUTIVE DIRECTOR,77583-2066
TX-607,Texas Balance of State CoC,TX,BCP,PRESIDENT/CEO,79401-1438
TX-607,Texas Balance of State CoC,TX,TLP,EXECUTIVE DIRECTOR,76513-3133
TX-607,Texas Balance of State CoC,TX,TLP,EXECUTIVE DIRECTOR,76513-3133
TX-607,Texas Balance of State CoC,TX,BCP,EXECUTIVE DIRECTOR,76513-3133
TX-607,Texas Balance of State CoC,TX,BCP,CEO,78130-6202
TX-607,Texas Balance of State CoC,TX,BCP,EXECUTIVE DIRECTOR,78130-6202
TX-607,Texas Balance of State CoC,TX,BCP,CHIEF EXECUTIVE OFFICER,75090-6359
TX-607,Texas Balance of State CoC,TX,BCP,PRESIDENT AND CEO,78028-4629
TX-607,Texas Balance of State CoC,TX,BCP,EXECUTIVE DIRECTOR,77303-1403
TX-607,Texas Balance of State CoC,TX,BCP,EXECUTIVE DIRECTOR,77303-1403
TX-607,Texas Balance of State CoC,TX,BCP,EXECUTIVE DIRECTOR,78041-5434
TX-607,Texas Balance of State CoC,TX,BCP,EXECUTIVE DIRECTOR,77550-6547
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",TX,BCP,CHIEF EXECUTIVE OFFICER,76302-1111
TX-700,"Houston, Pasadena, Conroe/Harris, Fort Bend, Montgomery, Counties CoC",TX,BCP,N/A,77006-3823
TX-700,"Houston, Pasadena, Conroe/Harris, Fort Bend, Montgomery, Counties CoC",TX,BCP,N/A,77002-1901
UT-500,Salt Lake City & County CoC,UT,TLP,N/A,84115-4345
UT-500,Salt Lake City & County CoC,UT,BCP,EXECUTIVE DIRECTOR,84115-4345
UT-500,Salt Lake City & County CoC,UT,BCP,PROGRAM DIRECTOR,84116-3100
UT-500,Salt Lake City & County CoC,UT,TLP,PRESIDENT/CEO,84115-2519
UT-504,Provo/Mountainland CoC,UT,BCP,CHIEF OPERATING OFFICER,84601-1690
VA-503,Virginia Beach CoC,VA,BCP,CHIEF EXECUTIVE OFFICER,23452-5619
VA-503,Virginia Beach CoC,VA,BCP,JUVENILE JUSTICE COORDINATOR,23452-5619
VA-503,Virginia Beach CoC,VA,BCP,EXECUTIVE DIRECTOR,23452-5619
VA-504,Charlottesville CoC,VA,BCP,EXECUTIVE DIRECTOR,22902-5337
VA-601,Fairfax County CoC,VA,TLP,EXECUTIVE DIRECTOR,22182-3910
VA-601,Fairfax County CoC,VA,TLP,EXECUTIVE DIRECTOR,22182-3910
VA-601,Fairfax County CoC,VA,BCP,CHIEF EXECUTIVE OFFICER,22182-3910
VT-500,Vermont Balance of State CoC,VT,TLP,EXECUTIVE DIRECTOR,05602-2995
VT-500,Vermont Balance of State CoC,VT,TLP,EXECUTIVE DIRECTOR,05602-2995
VT-500,Vermont Balance of State CoC,VT,BCP,CHIEF EXECUTIVE OFFICER,05602-2995
WA-500,Seattle/King County CoC,WA,TLP,PRESIDENT AND CEO,98034-2306
WA-500,Seattle/King County CoC,WA,TLP,PRESIDENT AND CEO,98034-2306
WA-500,Seattle/King County CoC,WA,BCP,CHIEF EXECUTIVE OFFICER,98034-2306
WA-500,Seattle/King County CoC,WA,BCP,N/A,98034-2306
WA-500,Seattle/King County CoC,WA,TLP,GRANTS & CONTRACTS ADMINISTRATOR,98105-3142
WA-500,Seattle/King County CoC,WA,TLP,DEPUTY DIRECTOR OF OPERATIONS,98105-3142
WA-500,Seattle/King County CoC,WA,BCP,EXECUTIVE DIRECTOR,98105-3142
WA-501,Washington Balance of State CoC,WA,TLP,N/A,98506-3984
WA-501,Washington Balance of State CoC,WA,BCP,EXECUTIVE DIRECTOR,98506-3984
WA-501,Washington Balance of State CoC,WA,BCP,GRANTS MANAGER,98506-3984
WA-501,Washington Balance of State CoC,WA,BCP,EXECUTIVE DIRECTOR,98506-3984
WA-501,Washington Balance of State CoC,WA,TLP,EXECUTIVE DIRECTOR,98225-5012
WA-501,Washington Balance of State CoC,WA,BCP,PRESIDENT & CEO,98225-5012
WA-501,Washington Balance of State CoC,WA,BCP,EXECUTIVE DIRECTOR,98225-5012
WA-502,Spokane City & County CoC,WA,BCP,N/A,99201-4301
WA-504,Everett/Snohomish County CoC,WA,TLP,EXECUTIVE DIRECTOR/CEO,98201-3835
WA-504,Everett/Snohomish County CoC,WA,TLP,EXECUTIVE DIRECTOR/CEO,98201-3835
WA-504,Everett/Snohomish County CoC,WA,BCP,EXECUTIVE DIRECTOR,98201-3835
WI-500,Wisconsin Balance of State CoC,WI,TLP,EXECUTIVE VICE PRESIDENT,54301-4527
WI-500,Wisconsin Balance of State CoC,WI,TLP,EXECUTIVE DIRECTOR,53140-3715
WI-500,Wisconsin Balance of State CoC,WI,BCP,EXECUTIVE DIRECTOR,53095-3300
WI-501,Milwaukee City & County CoC,WI,BCP,ASSISTANT DIRECTOR,53204-1535
WI-501,Milwaukee City & County CoC,WI,BCP,CHAIRMAN BOARD OF DIRECTORS,53204-1535
WI-501,Milwaukee City & County CoC,WI,BCP,BOARD SECRETARY,53212-1064
WI-501,Milwaukee City & County CoC,WI,BCP,PRESIDENT/CEO,53212-1064
WI-501,Milwaukee City & County CoC,WI,TLP,EXECUTIVE DIRECTOR,53204-1157
WI-501,Milwaukee City & County CoC,WI,BCP,EXECUTIVE DIRECTOR,53204-1157
WI-502,Racine City & County CoC,WI,BCP,PRESIDENT/CEO,53403-1762
WI-503,Madison/Dane County CoC,WI,TLP,EXECUTIVE DIRECTOR,53713-3337
WI-503,Madison/Dane County CoC,WI,BCP,EXECUTIVE DIRECTOR,53713-3337
WI-503,Madison/Dane County CoC,WI,BCP,EXECUTIVE DIRECTOR,53713-3337
WI-503,Madison/Dane County CoC,WI,BCP,CHIEF EXECUTIVE OFFICER,53704-4949
WI-503,Madison/Dane County CoC,WI,BCP,EXECUTIVE DIRECTOR,53704-4949
WI-503,Madison/Dane County CoC,WI,BCP,N/A,53704-4949
WV-500,"Wheeling, Weirton Area CoC",WV,BCP,PRESIDENT/CEO,26003-3548
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",WV,BCP,PRESIDENT/CEO,25301-3002
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",WV,TLP,EXECUTIVE DIRECTOR,25311-2509
WY-500,Wyoming Statewide CoC,WY,BCP,N/A,82501-8959
WY-500,Wyoming Statewide CoC,WY,TLP,EXECUTIVE DIRECTOR,82716-2109
