year,coc_name,coc_number,ahar_part_1_coc_category
2015,Anchorage,AK-500,"Smaller Cities, Counties, and Regional CoCs"
2016,Anchorage,AK-500,"Smaller Cities, Counties, and Regional CoCs"
2017,Anchorage,AK-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Alaska Balance of State,AK-501,Balance of State and Statewide CoCs
2016,Alaska Balance of State,AK-501,Balance of State and Statewide CoCs
2017,Alaska Balance of State,AK-501,Balance of State and Statewide CoCs
2016,"Birmingham/Jefferson, St. Clair, Shelby Counties",AL-500,"Smaller Cities, Counties, and Regional CoCs"
2015,"Birmingham/Jefferson, St. Clair, Shelby Counties",AL-500,"Smaller Cities, Counties, and Regional CoCs"
2017,"Birmingham/Jefferson, St. Clair, Shelby Counties",AL-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Mobile City & County/Baldwin County,AL-501,"Smaller Cities, Counties, and Regional CoCs"
2017,Mobile City & County/Baldwin County,AL-501,"Smaller Cities, Counties, and Regional CoCs"
2016,Mobile City & County/Baldwin County,AL-501,"Smaller Cities, Counties, and Regional CoCs"
2016,Florence/Northwest Alabama,AL-502,"Smaller Cities, Counties, and Regional CoCs"
2017,Florence/Northwest Alabama,AL-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Huntsville/North Alabama,AL-503,"Smaller Cities, Counties, and Regional CoCs"
2016,Huntsville/North Alabama,AL-503,"Smaller Cities, Counties, and Regional CoCs"
2017,Huntsville/North Alabama,AL-503,"Smaller Cities, Counties, and Regional CoCs"
2015,Montgomery City & County,AL-504,"Smaller Cities, Counties, and Regional CoCs"
2017,Montgomery City & County,AL-504,"Smaller Cities, Counties, and Regional CoCs"
2016,Montgomery City & County,AL-504,"Smaller Cities, Counties, and Regional CoCs"
2015,Gadsden/Northeast Alabama,AL-505,"Smaller Cities, Counties, and Regional CoCs"
2016,Gadsden/Northeast Alabama,AL-505,"Smaller Cities, Counties, and Regional CoCs"
2016,Tuscaloosa City & County,AL-506,"Smaller Cities, Counties, and Regional CoCs"
2017,Tuscaloosa City & County,AL-506,"Smaller Cities, Counties, and Regional CoCs"
2015,Tuscaloosa City & County,AL-506,"Smaller Cities, Counties, and Regional CoCs"
2015,Alabama Balance of State,AL-507,Balance of State and Statewide CoCs
2016,Alabama Balance of State,AL-507,Balance of State and Statewide CoCs
2017,Alabama Balance of State,AL-507,Balance of State and Statewide CoCs
2016,Little Rock/Central Arkansas,AR-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Little Rock/Central Arkansas,AR-500,"Smaller Cities, Counties, and Regional CoCs"
2017,Little Rock/Central Arkansas,AR-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Fayetteville/Northwest Arkansas,AR-501,"Smaller Cities, Counties, and Regional CoCs"
2017,Fayetteville/Northwest Arkansas,AR-501,"Smaller Cities, Counties, and Regional CoCs"
2016,Fayetteville/Northwest Arkansas,AR-501,"Smaller Cities, Counties, and Regional CoCs"
2015,Arkansas  Balance of State,AR-503,Balance of State and Statewide CoCs
2017,Arkansas  Balance of State,AR-503,Balance of State and Statewide CoCs
2016,Arkansas  Balance of State,AR-503,Balance of State and Statewide CoCs
2015,Southeast Arkansas,AR-505,"Smaller Cities, Counties, and Regional CoCs"
2017,Southeast Arkansas,AR-505,"Smaller Cities, Counties, and Regional CoCs"
2016,Southeast Arkansas,AR-505,"Smaller Cities, Counties, and Regional CoCs"
2015,Old Fort Homeless Coalition,AR-508,"Smaller Cities, Counties, and Regional CoCs"
2017,Fort Smith,AR-508,"Smaller Cities, Counties, and Regional CoCs"
2016,Fort Smith,AR-508,"Smaller Cities, Counties, and Regional CoCs"
2016,"Boone, Baxter, Marion, Newton Counties",AR-512,"Smaller Cities, Counties, and Regional CoCs"
2015,"Boone, Baxter, Marion, Newton Counties",AR-512,"Smaller Cities, Counties, and Regional CoCs"
2015,Arizona Balance of State,AZ-500,Balance of State and Statewide CoCs
2017,Arizona Balance of State,AZ-500,Balance of State and Statewide CoCs
2016,Arizona Balance of State,AZ-500,Balance of State and Statewide CoCs
2015,Tucson/Pima County,AZ-501,Major Cities
2016,Tucson/Pima County,AZ-501,Major Cities
2017,Tucson/Pima County,AZ-501,Major Cities
2015,Phoenix/Mesa/Maricopa County Regional,AZ-502,Major Cities
2017,"Phoenix, Mesa/Maricopa County",AZ-502,Major Cities
2016,"Phoenix, Mesa/Maricopa County",AZ-502,Major Cities
2015,San Jose/Santa Clara City & County,CA-500,Major Cities
2016,San Jose/Santa Clara City & County,CA-500,Major Cities
2017,San Jose/Santa Clara City & County,CA-500,Major Cities
2015,San Francisco,CA-501,Major Cities
2017,San Francisco,CA-501,Major Cities
2016,San Francisco,CA-501,Major Cities
2015,Oakland/Alameda County,CA-502,Major Cities
2016,"Oakland, Berkeley/Alameda County",CA-502,Major Cities
2017,"Oakland, Berkeley/Alameda County",CA-502,Major Cities
2016,Sacramento City & County,CA-503,Major Cities
2017,Sacramento City & County,CA-503,Major Cities
2015,Sacramento City & County,CA-503,Major Cities
2017,"Santa Rosa, Petaluma/Sonoma County",CA-504,"Smaller Cities, Counties, and Regional CoCs"
2015,Santa Rosa/Petaluma/Sonoma County,CA-504,"Smaller Cities, Counties, and Regional CoCs"
2016,"Santa Rosa, Petaluma/Sonoma County",CA-504,"Smaller Cities, Counties, and Regional CoCs"
2017,Richmond/Contra Costa County,CA-505,"Smaller Cities, Counties, and Regional CoCs"
2016,Richmond/Contra Costa County,CA-505,"Smaller Cities, Counties, and Regional CoCs"
2015,Richmond/Contra Costa County,CA-505,"Smaller Cities, Counties, and Regional CoCs"
2015,"Salinas/Monterey, San Benito Counties",CA-506,"Smaller Cities, Counties, and Regional CoCs"
2017,"Salinas/Monterey, San Benito Counties",CA-506,"Smaller Cities, Counties, and Regional CoCs"
2016,"Salinas/Monterey, San Benito Counties",CA-506,"Smaller Cities, Counties, and Regional CoCs"
2017,Marin County,CA-507,"Smaller Cities, Counties, and Regional CoCs"
2016,Marin County,CA-507,"Smaller Cities, Counties, and Regional CoCs"
2015,Marin County,CA-507,"Smaller Cities, Counties, and Regional CoCs"
2017,Watsonville/Santa Cruz City & County,CA-508,"Smaller Cities, Counties, and Regional CoCs"
2015,Watsonville/Santa Cruz City & County,CA-508,"Smaller Cities, Counties, and Regional CoCs"
2016,Watsonville/Santa Cruz City & County,CA-508,"Smaller Cities, Counties, and Regional CoCs"
2016,Mendocino County,CA-509,"Smaller Cities, Counties, and Regional CoCs"
2017,Mendocino County,CA-509,"Smaller Cities, Counties, and Regional CoCs"
2015,Mendocino County,CA-509,"Smaller Cities, Counties, and Regional CoCs"
2016,"Turlock, Modesto/Stanislaus County",CA-510,"Smaller Cities, Counties, and Regional CoCs"
2015,Turlock/Modesto/Stanislaus County,CA-510,"Smaller Cities, Counties, and Regional CoCs"
2017,"Turlock, Modesto/Stanislaus County",CA-510,"Smaller Cities, Counties, and Regional CoCs"
2016,Stockton/San Joaquin County,CA-511,"Smaller Cities, Counties, and Regional CoCs"
2017,Stockton/San Joaquin County,CA-511,"Smaller Cities, Counties, and Regional CoCs"
2015,Stockton/San Joaquin County,CA-511,"Smaller Cities, Counties, and Regional CoCs"
2015,Daly/San Mateo County,CA-512,"Smaller Cities, Counties, and Regional CoCs"
2016,Daly/San Mateo County,CA-512,"Smaller Cities, Counties, and Regional CoCs"
2017,Daly/San Mateo County,CA-512,"Smaller Cities, Counties, and Regional CoCs"
2017,"Visalia/Kings, Tulare Counties",CA-513,"Smaller Cities, Counties, and Regional CoCs"
2015,"Visalia, Kings, Tulare Counties",CA-513,"Smaller Cities, Counties, and Regional CoCs"
2016,"Visalia/Kings, Tulare Counties",CA-513,"Smaller Cities, Counties, and Regional CoCs"
2015,Fresno/Madera County,CA-514,Major Cities
2016,Fresno City & County/Madera County,CA-514,Major Cities
2017,Fresno City & County/Madera County,CA-514,Major Cities
2017,"Roseville, Rocklin/Placer, Nevada Counties",CA-515,"Smaller Cities, Counties, and Regional CoCs"
2015,"Roseville/Rocklin/Placer, Nevada Counties",CA-515,"Smaller Cities, Counties, and Regional CoCs"
2016,"Roseville, Rocklin/Placer, Nevada Counties",CA-515,"Smaller Cities, Counties, and Regional CoCs"
2016,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",CA-516,"Smaller Cities, Counties, and Regional CoCs"
2017,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",CA-516,"Smaller Cities, Counties, and Regional CoCs"
2015,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",CA-516,"Smaller Cities, Counties, and Regional CoCs"
2017,Napa City & County,CA-517,"Smaller Cities, Counties, and Regional CoCs"
2015,Napa City & County,CA-517,"Smaller Cities, Counties, and Regional CoCs"
2016,Napa City & County,CA-517,"Smaller Cities, Counties, and Regional CoCs"
2015,Vallejo/Solano County,CA-518,"Smaller Cities, Counties, and Regional CoCs"
2016,Vallejo/Solano County,CA-518,"Smaller Cities, Counties, and Regional CoCs"
2017,Vallejo/Solano County,CA-518,"Smaller Cities, Counties, and Regional CoCs"
2015,Chico/Paradise/Butte County,CA-519,"Smaller Cities, Counties, and Regional CoCs"
2017,"Chico, Paradise/Butte County",CA-519,"Smaller Cities, Counties, and Regional CoCs"
2016,"Chico, Paradise/Butte County",CA-519,"Smaller Cities, Counties, and Regional CoCs"
2016,Merced City & County,CA-520,"Smaller Cities, Counties, and Regional CoCs"
2017,Merced City & County,CA-520,"Smaller Cities, Counties, and Regional CoCs"
2015,Merced City & County,CA-520,"Smaller Cities, Counties, and Regional CoCs"
2015,Davis/Woodland/Yolo County,CA-521,"Smaller Cities, Counties, and Regional CoCs"
2016,"Davis, Woodland/Yolo County",CA-521,"Smaller Cities, Counties, and Regional CoCs"
2017,"Davis, Woodland/Yolo County",CA-521,"Smaller Cities, Counties, and Regional CoCs"
2015,Humboldt County,CA-522,"Smaller Cities, Counties, and Regional CoCs"
2016,Humboldt County,CA-522,"Smaller Cities, Counties, and Regional CoCs"
2017,Humboldt County,CA-522,"Smaller Cities, Counties, and Regional CoCs"
2016,"Colusa, Glenn, Trinity Counties",CA-523,"Smaller Cities, Counties, and Regional CoCs"
2015,"Colusa, Glenn, Trinity Counties",CA-523,"Smaller Cities, Counties, and Regional CoCs"
2017,"Colusa, Glenn, Trinity Counties",CA-523,"Smaller Cities, Counties, and Regional CoCs"
2017,Yuba City & County/Sutter County,CA-524,"Smaller Cities, Counties, and Regional CoCs"
2016,Yuba City & County/Sutter County,CA-524,"Smaller Cities, Counties, and Regional CoCs"
2015,Yuba City & County/Sutter County,CA-524,"Smaller Cities, Counties, and Regional CoCs"
2015,El Dorado County,CA-525,"Smaller Cities, Counties, and Regional CoCs"
2017,El Dorado County,CA-525,"Smaller Cities, Counties, and Regional CoCs"
2016,El Dorado County,CA-525,"Smaller Cities, Counties, and Regional CoCs"
2015,"Amador, Calaveras, Tuolumne and Mariposa Counties",CA-526,"Smaller Cities, Counties, and Regional CoCs"
2016,"Amador, Calaveras, Mariposa, Tuolumne Counties",CA-526,"Smaller Cities, Counties, and Regional CoCs"
2017,"Amador, Calaveras, Mariposa, Tuolumne Counties",CA-526,"Smaller Cities, Counties, and Regional CoCs"
2017,Tehama County,CA-527,"Smaller Cities, Counties, and Regional CoCs"
2016,Tehama County,CA-527,"Smaller Cities, Counties, and Regional CoCs"
2015,Tehama County,CA-527,"Smaller Cities, Counties, and Regional CoCs"
2016,Lake County,CA-529,"Smaller Cities, Counties, and Regional CoCs"
2015,Lake County,CA-529,"Smaller Cities, Counties, and Regional CoCs"
2016,"Alpine, Inyo, Mono Counties",CA-530,"Smaller Cities, Counties, and Regional CoCs"
2017,"Alpine, Inyo, Mono Counties",CA-530,"Smaller Cities, Counties, and Regional CoCs"
2015,"Inyo, Mono, Alpine Counties",CA-530,"Smaller Cities, Counties, and Regional CoCs"
2017,Los Angeles City & County,CA-600,Major Cities
2015,Los Angeles City & County,CA-600,Major Cities
2016,Los Angeles City & County,CA-600,Major Cities
2016,San Diego City and County,CA-601,Major Cities
2015,San Diego City and County,CA-601,Major Cities
2017,San Diego City and County,CA-601,Major Cities
2016,"Santa Ana, Anaheim/Orange County",CA-602,"Smaller Cities, Counties, and Regional CoCs"
2015,Santa Ana/Anaheim/Orange County,CA-602,"Smaller Cities, Counties, and Regional CoCs"
2017,"Santa Ana, Anaheim/Orange County",CA-602,"Smaller Cities, Counties, and Regional CoCs"
2015,Santa Maria/Santa Barbara County,CA-603,"Smaller Cities, Counties, and Regional CoCs"
2017,Santa Maria/Santa Barbara County,CA-603,"Smaller Cities, Counties, and Regional CoCs"
2016,Santa Maria/Santa Barbara County,CA-603,"Smaller Cities, Counties, and Regional CoCs"
2017,Bakersfield/Kern County,CA-604,"Smaller Cities, Counties, and Regional CoCs"
2016,Bakersfield/Kern County,CA-604,"Smaller Cities, Counties, and Regional CoCs"
2015,Bakersfield/Kern County,CA-604,"Smaller Cities, Counties, and Regional CoCs"
2017,Long Beach,CA-606,Major Cities
2015,Long Beach,CA-606,Major Cities
2016,Long Beach,CA-606,Major Cities
2015,Pasadena,CA-607,"Smaller Cities, Counties, and Regional CoCs"
2017,Pasadena,CA-607,"Smaller Cities, Counties, and Regional CoCs"
2016,Pasadena,CA-607,"Smaller Cities, Counties, and Regional CoCs"
2016,Riverside City & County,CA-608,"Smaller Cities, Counties, and Regional CoCs"
2017,Riverside City & County,CA-608,"Smaller Cities, Counties, and Regional CoCs"
2015,Riverside City & County,CA-608,"Smaller Cities, Counties, and Regional CoCs"
2015,San Bernardino City & County,CA-609,"Smaller Cities, Counties, and Regional CoCs"
2017,San Bernardino City & County,CA-609,"Smaller Cities, Counties, and Regional CoCs"
2016,San Bernardino City & County,CA-609,"Smaller Cities, Counties, and Regional CoCs"
2016,"Oxnard, San Buenaventura/Ventura County",CA-611,"Smaller Cities, Counties, and Regional CoCs"
2015,Oxnard/San Buenaventura/Ventura County,CA-611,"Smaller Cities, Counties, and Regional CoCs"
2017,"Oxnard, San Buenaventura/Ventura County",CA-611,"Smaller Cities, Counties, and Regional CoCs"
2015,Glendale,CA-612,"Smaller Cities, Counties, and Regional CoCs"
2017,Glendale,CA-612,"Smaller Cities, Counties, and Regional CoCs"
2016,Glendale,CA-612,"Smaller Cities, Counties, and Regional CoCs"
2017,Imperial County,CA-613,"Smaller Cities, Counties, and Regional CoCs"
2016,Imperial County,CA-613,"Smaller Cities, Counties, and Regional CoCs"
2015,Imperial County,CA-613,"Smaller Cities, Counties, and Regional CoCs"
2016,San Luis Obispo County,CA-614,"Smaller Cities, Counties, and Regional CoCs"
2017,San Luis Obispo County,CA-614,"Smaller Cities, Counties, and Regional CoCs"
2015,San Luis Obispo County,CA-614,"Smaller Cities, Counties, and Regional CoCs"
2015,"Inyo, Mono, Alpine Counties",CA-615,"Smaller Cities, Counties, and Regional CoCs"
2017,Colorado Balance of State,CO-500,Balance of State and Statewide CoCs
2015,Colorado Balance of State,CO-500,Balance of State and Statewide CoCs
2016,Colorado Balance of State,CO-500,Balance of State and Statewide CoCs
2017,Metropolitan Denver,CO-503,Major Cities
2016,Metropolitan Denver,CO-503,Major Cities
2015,Metropolitan Denver Homeless Initiative,CO-503,Major Cities
2016,Colorado Springs/El Paso County,CO-504,Major Cities
2017,Colorado Springs/El Paso County,CO-504,Major Cities
2015,Colorado Springs/El Paso County,CO-504,Major Cities
2015,Hartford,CT-502,"Smaller Cities, Counties, and Regional CoCs"
2016,"Bridgeport, Stamford, Norwalk/Fairfield County",CT-503,"Smaller Cities, Counties, and Regional CoCs"
2017,"Bridgeport, Stamford, Norwalk/Fairfield County",CT-503,"Smaller Cities, Counties, and Regional CoCs"
2015,Bridgeport/Norwalk /Stamford/Fairfield County,CT-503,"Smaller Cities, Counties, and Regional CoCs"
2016,Connecticut Balance of State,CT-505,Balance of State and Statewide CoCs
2015,Connecticut Balance of State,CT-505,Balance of State and Statewide CoCs
2017,Connecticut Balance of State,CT-505,Balance of State and Statewide CoCs
2015,District of Columbia,DC-500,Major Cities
2017,District of Columbia,DC-500,Major Cities
2016,District of Columbia,DC-500,Major Cities
2015,Delaware Statewide,DE-500,Balance of State and Statewide CoCs
2016,Delaware Statewide,DE-500,Balance of State and Statewide CoCs
2017,Delaware Statewide,DE-500,Balance of State and Statewide CoCs
2016,"Sarasota, Bradenton/Manatee, Sarasota Counties",FL-500,"Smaller Cities, Counties, and Regional CoCs"
2015,"Sarasota/Bradenton/Manatee, Sarasota Counties",FL-500,"Smaller Cities, Counties, and Regional CoCs"
2017,"Sarasota, Bradenton/Manatee, Sarasota Counties",FL-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Tampa/Hillsborough County,FL-501,"Smaller Cities, Counties, and Regional CoCs"
2017,Tampa/Hillsborough County,FL-501,"Smaller Cities, Counties, and Regional CoCs"
2016,Tampa/Hillsborough County,FL-501,"Smaller Cities, Counties, and Regional CoCs"
2015,St. Petersburg/Clearwater/Largo/Pinellas County,FL-502,"Smaller Cities, Counties, and Regional CoCs"
2017,"St. Petersburg, Clearwater, Largo/Pinellas County",FL-502,"Smaller Cities, Counties, and Regional CoCs"
2016,"St. Petersburg, Clearwater, Largo/Pinellas County",FL-502,"Smaller Cities, Counties, and Regional CoCs"
2017,"Lakeland, Winterhaven/Polk County",FL-503,"Smaller Cities, Counties, and Regional CoCs"
2015,Lakeland/Winter Haven/Polk County,FL-503,"Smaller Cities, Counties, and Regional CoCs"
2016,"Lakeland, Winterhaven/Polk County",FL-503,"Smaller Cities, Counties, and Regional CoCs"
2017,"Daytona Beach, Daytona/Volusia, Flagler Counties",FL-504,"Smaller Cities, Counties, and Regional CoCs"
2016,"Daytona Beach, Daytona/Volusia, Flagler Counties",FL-504,"Smaller Cities, Counties, and Regional CoCs"
2015,"Daytona Beach/Daytona/Volusia, Flagler Counties",FL-504,"Smaller Cities, Counties, and Regional CoCs"
2017,"Fort Walton Beach/Okaloosa, Walton Counties",FL-505,"Smaller Cities, Counties, and Regional CoCs"
2015,"Fort Walton Beach/Okaloosa, Walton Counties",FL-505,"Smaller Cities, Counties, and Regional CoCs"
2016,"Fort Walton Beach/Okaloosa, Walton Counties",FL-505,"Smaller Cities, Counties, and Regional CoCs"
2016,Tallahassee/Leon County,FL-506,"Smaller Cities, Counties, and Regional CoCs"
2017,Tallahassee/Leon County,FL-506,"Smaller Cities, Counties, and Regional CoCs"
2015,Tallahassee/Leon County,FL-506,"Smaller Cities, Counties, and Regional CoCs"
2015,"Orlando/Orange, Osceola, Seminole Counties",FL-507,"Smaller Cities, Counties, and Regional CoCs"
2017,"Orlando/Orange, Osceola, Seminole Counties",FL-507,"Smaller Cities, Counties, and Regional CoCs"
2016,"Orlando/Orange, Osceola, Seminole Counties",FL-507,"Smaller Cities, Counties, and Regional CoCs"
2015,"Gainesville/Alachua, Putnam Counties",FL-508,"Smaller Cities, Counties, and Regional CoCs"
2016,"Gainesville/Alachua, Putnam Counties",FL-508,"Smaller Cities, Counties, and Regional CoCs"
2017,"Gainesville/Alachua, Putnam Counties",FL-508,"Smaller Cities, Counties, and Regional CoCs"
2016,"Fort Pierce/St. Lucie, Indian River, Martin Counties",FL-509,"Smaller Cities, Counties, and Regional CoCs"
2017,"Fort Pierce/St. Lucie, Indian River, Martin Counties",FL-509,"Smaller Cities, Counties, and Regional CoCs"
2015,"Fort Pierce/St. Lucie, Indian River, Martin Counties",FL-509,"Smaller Cities, Counties, and Regional CoCs"
2017,"Jacksonville-Duval, Clay Counties",FL-510,Major Cities
2015,"Jacksonville-Duval, Clay Counties",FL-510,Major Cities
2016,"Jacksonville-Duval, Clay Counties",FL-510,Major Cities
2016,"Pensacola/Escambia, Santa Rosa Counties",FL-511,"Smaller Cities, Counties, and Regional CoCs"
2017,"Pensacola/Escambia, Santa Rosa Counties",FL-511,"Smaller Cities, Counties, and Regional CoCs"
2015,Pensacola/Escambia/Santa Rosa County,FL-511,"Smaller Cities, Counties, and Regional CoCs"
2016,St. Johns County,FL-512,"Smaller Cities, Counties, and Regional CoCs"
2015,Saint Johns County,FL-512,"Smaller Cities, Counties, and Regional CoCs"
2017,St. Johns County,FL-512,"Smaller Cities, Counties, and Regional CoCs"
2016,"Palm Bay, Melbourne/Brevard County",FL-513,"Smaller Cities, Counties, and Regional CoCs"
2015,Palm Bay/Melbourne/Brevard County,FL-513,"Smaller Cities, Counties, and Regional CoCs"
2017,"Palm Bay, Melbourne/Brevard County",FL-513,"Smaller Cities, Counties, and Regional CoCs"
2016,Ocala/Marion County,FL-514,"Smaller Cities, Counties, and Regional CoCs"
2015,Ocala/Marion County,FL-514,"Smaller Cities, Counties, and Regional CoCs"
2017,Ocala/Marion County,FL-514,"Smaller Cities, Counties, and Regional CoCs"
2017,"Panama City/Bay, Jackson Counties",FL-515,"Smaller Cities, Counties, and Regional CoCs"
2016,"Panama City/Bay, Jackson Counties",FL-515,"Smaller Cities, Counties, and Regional CoCs"
2015,"Panama City/Bay, Jackson Counties",FL-515,"Smaller Cities, Counties, and Regional CoCs"
2017,"Hendry, Hardee, Highlands Counties",FL-517,"Smaller Cities, Counties, and Regional CoCs"
2016,"Hendry, Hardee, Highlands Counties",FL-517,"Smaller Cities, Counties, and Regional CoCs"
2015,"Hendry, Hardee, Highlands Counties",FL-517,"Smaller Cities, Counties, and Regional CoCs"
2017,"Columbia, Hamilton, Lafayette, Suwannee Counties",FL-518,"Smaller Cities, Counties, and Regional CoCs"
2015,"Columbia, Hamilton, Lafayette, Suwannee Counties",FL-518,"Smaller Cities, Counties, and Regional CoCs"
2016,"Columbia, Hamilton, Lafayette, Suwannee Counties",FL-518,"Smaller Cities, Counties, and Regional CoCs"
2015,Pasco County,FL-519,"Smaller Cities, Counties, and Regional CoCs"
2017,Pasco County,FL-519,"Smaller Cities, Counties, and Regional CoCs"
2016,Pasco County,FL-519,"Smaller Cities, Counties, and Regional CoCs"
2015,"Citrus, Hernando, Lake, Sumter Counties",FL-520,"Smaller Cities, Counties, and Regional CoCs"
2017,"Citrus, Hernando, Lake, Sumter Counties",FL-520,"Smaller Cities, Counties, and Regional CoCs"
2016,"Citrus, Hernando, Lake, Sumter Counties",FL-520,"Smaller Cities, Counties, and Regional CoCs"
2017,Miami-Dade County,FL-600,Major Cities
2016,Miami-Dade County,FL-600,Major Cities
2015,Miami/Dade County,FL-600,Major Cities
2017,Ft Lauderdale/Broward County,FL-601,"Smaller Cities, Counties, and Regional CoCs"
2016,Ft Lauderdale/Broward County,FL-601,"Smaller Cities, Counties, and Regional CoCs"
2015,Ft Lauderdale/Broward County,FL-601,"Smaller Cities, Counties, and Regional CoCs"
2015,Punta Gorda/Charlotte County,FL-602,"Smaller Cities, Counties, and Regional CoCs"
2017,Punta Gorda/Charlotte County,FL-602,"Smaller Cities, Counties, and Regional CoCs"
2016,Punta Gorda/Charlotte County,FL-602,"Smaller Cities, Counties, and Regional CoCs"
2015,Ft Myers/Cape Coral/Lee County,FL-603,"Smaller Cities, Counties, and Regional CoCs"
2017,"Ft Myers, Cape Coral/Lee County",FL-603,"Smaller Cities, Counties, and Regional CoCs"
2016,"Ft Myers, Cape Coral/Lee County",FL-603,"Smaller Cities, Counties, and Regional CoCs"
2016,Monroe County,FL-604,"Smaller Cities, Counties, and Regional CoCs"
2015,Monroe County,FL-604,"Smaller Cities, Counties, and Regional CoCs"
2017,Monroe County,FL-604,"Smaller Cities, Counties, and Regional CoCs"
2015,West Palm Beach/Palm Beach County,FL-605,"Smaller Cities, Counties, and Regional CoCs"
2016,West Palm Beach/Palm Beach County,FL-605,"Smaller Cities, Counties, and Regional CoCs"
2017,West Palm Beach/Palm Beach County,FL-605,"Smaller Cities, Counties, and Regional CoCs"
2016,Naples/Collier County,FL-606,"Smaller Cities, Counties, and Regional CoCs"
2015,Naples/Collier County,FL-606,"Smaller Cities, Counties, and Regional CoCs"
2017,Naples/Collier County,FL-606,"Smaller Cities, Counties, and Regional CoCs"
2016,Atlanta,GA-500,Major Cities
2015,Atlanta Continuum of Care,GA-500,Major Cities
2017,Atlanta,GA-500,Major Cities
2016,Georgia Balance of State,GA-501,Balance of State and Statewide CoCs
2015,Georgia Balance of State,GA-501,Balance of State and Statewide CoCs
2017,Georgia Balance of State,GA-501,Balance of State and Statewide CoCs
2016,Fulton County,GA-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Fulton County Continuum of Care,GA-502,"Smaller Cities, Counties, and Regional CoCs"
2017,Fulton County,GA-502,"Smaller Cities, Counties, and Regional CoCs"
2017,Athens-Clarke County,GA-503,"Smaller Cities, Counties, and Regional CoCs"
2015,Athens/Clarke County,GA-503,"Smaller Cities, Counties, and Regional CoCs"
